time_start_sec,draw_time_avg,janky_frames,missed_vsync_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count,draw_time_avg_ma,janky_frames_ma
7610,60.64815,0,0,0,0,0,90.37819499999999,0.0
7640,118.564354,0,0,0,0,0,93.33451699999999,0.0
7670,67.75126,0,0,0,0,0,97.174297,0.0
7700,29.544296,0,0,0,0,0,91.59366785714285,0.0
7730,43.095146,0,0,0,0,0,69.78031442857142,0.0
7760,90.72832,0,0,0,0,0,76.86238728571428,0.0
7790,36.772877,1,0,0,0,0,63.87205757142856,0.14285714285714285
7820,88.39454,0,0,0,0,0,67.83582757142857,0.14285714285714285
7850,164.87083,1,0,1,0,1,74.45103842857144,0.2857142857142857
7940,52.75536,41,40,41,41,1,72.308767,6.142857142857143
8030,113.39239,0,0,0,0,0,84.28706614285714,6.142857142857143
8090,54.185192,0,0,0,0,0,85.87135842857141,6.142857142857143
8120,53.852375,37,31,37,37,2,80.60336628571429,11.428571428571429
8150,58.44251,18,15,18,17,0,83.69902814285714,13.857142857142858
8180,49.02591,44,39,44,43,0,78.07493814285714,20.142857142857142
8210,58.560192,14,12,14,13,1,62.88770414285714,22.0
8240,66.793945,1,0,0,0,0,64.89321628571427,16.285714285714285
8270,145.67722,11,10,11,10,2,69.50533485714284,17.857142857142858
8300,67.50947,0,0,0,0,0,71.40880314285712,17.857142857142858
8330,38.901627,44,3,13,1,35,69.27298199999998,18.857142857142858
8360,27.38837,0,0,0,0,0,64.83667628571428,16.285714285714285
8390,26.332104,15,1,6,1,10,61.594703999999986,12.142857142857142
8420,50.33759,0,0,0,0,0,60.42004657142856,10.142857142857142
8450,124.67704,1,0,0,0,0,68.68906014285713,10.142857142857142
8480,67.878,14,1,6,2,11,57.57488585714285,10.571428571428571
8510,35.423466,4,1,3,2,2,52.991170999999994,11.142857142857142
8540,56.05455,4,1,3,1,2,55.44158857142856,5.428571428571429
8570,28.166054,2,1,2,1,1,55.55268628571428,5.714285714285714
8600,28.902987,12,0,2,0,11,55.91995528571427,5.285714285714286
8630,49.998695,4,0,3,3,1,55.871541714285705,5.857142857142857
8660,22.779964,8,1,5,3,3,41.31481657142856,6.857142857142857
8690,45.558277,3,1,2,1,1,38.1262847142857,5.285714285714286
8720,41.428978,27,11,17,11,24,38.98421499999999,8.571428571428571
8750,46.156147,0,0,0,0,0,37.57015742857141,8.0
8780,28.161198,14,2,7,3,7,37.5694637142857,9.714285714285714
8810,49.43734,38,30,35,31,8,40.50294271428571,13.428571428571429
8840,45.046024,4,1,3,2,1,39.79541828571428,13.428571428571429
8870,65.91917,3,1,2,0,3,45.958161999999994,12.714285714285714
8900,42.10728,8,2,5,1,5,45.46516242857142,13.428571428571429
8930,63.755157,3,0,1,0,3,48.65461657142856,10.0
8960,35.42197,30,5,12,2,23,47.12116271428571,14.285714285714286
8990,32.515034,19,0,2,0,14,47.74313928571428,15.0
9020,35.21603,15,2,7,0,11,45.711523571428565,11.714285714285714
9050,43.39266,12,0,3,0,10,45.47532871428571,12.857142857142858
9080,20.97593,1,0,0,0,1,39.05486585714285,12.571428571428571
9110,46.839214,5,1,2,0,3,39.73085642857142,12.142857142857142
9200,27.346764,28,1,5,0,19,34.52965742857142,15.714285714285714
9260,18.221968,4,1,2,1,2,32.072514285714284,12.0
9290,47.797276,3,1,2,0,1,34.2556917142857,9.714285714285714
9320,46.585903,0,0,0,0,0,35.87995928571427,7.571428571428571
9350,14.433229,0,0,0,0,0,31.742897714285707,5.857142857142857
9380,10.657412,3,1,2,1,1,30.268823714285706,6.142857142857143
9410,15.319135,0,0,0,0,0,25.765955285714277,5.428571428571429
9440,69.55141,31,30,31,30,1,31.79519042857142,5.857142857142857
9470,61.75321,5,3,4,4,2,38.01393928571428,6.0
9500,27.43575,1,0,1,0,1,35.10514985714285,5.714285714285714
9530,95.21695,9,5,7,6,2,42.05244228571428,7.0
9560,38.848347,4,1,3,2,1,45.540316285714276,7.571428571428571
9590,22.032694,3,0,1,1,0,47.16535657142856,7.571428571428571
9620,23.719168,44,39,43,43,1,48.36536128571428,13.857142857142858
9650,32.37027,31,27,30,30,0,43.05376985714285,13.857142857142858
9680,48.836945,5,3,5,1,1,41.208589142857136,13.857142857142858
